"Day","Nuclear","Hydro Run-of-River","Biomass","Fossil brown coal / lignite","Fossil hard coal","Fossil oil","Fossil gas","Geothermal","Hydro water reservoir","Others","Other renewables","Waste renewable","Waste non-renewable","Wind offshore","Wind onshore","Solar"
"01.01.2022",80.3,45.4,107.4,119,59.9,1.7,65.9,0.5,1.1,1.9,3,13.1,14.2,133.3,381.3,36.9
"02.01.2022",80.1,43.9,106.8,86.3,48.5,1.7,63.4,0.5,1.7,1.9,3,13.1,14.2,147.5,633.8,27.5
"03.01.2022",88.9,43.6,107.2,213.6,76.5,1.7,93.2,0.5,1.9,2,3.1,12,13,136,728.2,24.2
"04.01.2022",97.7,43.9,108.7,318.8,201.4,1.6,155.4,0.5,2.4,2.6,4,11.4,12.4,117.8,347.9,11.3
"05.01.2022",98.2,44.5,106.9,295.4,142.2,1.5,99.5,0.6,1.5,2.2,3.6,11.6,12.5,135.8,711.4,28.3
"06.01.2022",97.3,43.8,110.6,298,225.2,1.5,160.6,0.5,1.5,2.4,4.3,12.7,13.7,93.1,281.9,53.8
"07.01.2022",98,43,112.5,330.7,210.2,1.6,126.8,0.5,2,2.4,4.2,12.2,13.3,135.9,498.3,19.7
"08.01.2022",98,41.8,111.5,297.1,192.1,1.8,105,0.6,1.3,2.2,4.1,12,13,128.4,466.6,23.8
"09.01.2022",69.1,41.8,111.3,285.1,176.3,1.8,114.3,0.6,2.1,2.1,4,11.9,12.8,101.8,417.7,22.3
"10.01.2022",67.3,41.9,112.3,355.3,252.9,1.9,261.5,0.6,3.8,2.4,4.2,10.1,10.9,23.9,52.2,28.9
"11.01.2022",96.9,43.6,112.1,365.6,247.4,1.8,268.9,0.6,2.9,2.5,4.3,6.1,6.6,76.5,97.1,40.9
"12.01.2022",95.9,42.3,112.7,363.2,247.2,1.8,268,0.6,2.3,2.5,4.4,5.9,6.4,61,146.4,40
"13.01.2022",98.5,40.6,112.5,335.9,226.4,1.8,215,0.6,2.6,2.5,4.4,6.1,6.7,127.3,421,40.1
"14.01.2022",97.6,39.9,114.5,332.8,241.8,1.9,235.9,0.6,1.9,2.5,4.2,9.5,10.3,82.7,345.9,51
"15.01.2022",96,40.1,115,323.8,261.4,1.9,224.3,0.6,1.4,2.5,4.4,11.9,12.9,29.4,66.9,32.2
"16.01.2022",98.3,38.1,112.5,274.5,192.5,1.9,113.8,0.6,2.5,2.3,4.3,11.1,12,115.4,424.2,26.4
"17.01.2022",96.8,36.3,112.3,282.4,210.6,1.8,153,0.6,3.3,2.4,4.2,10.8,11.7,110.4,616.7,23.1
"18.01.2022",94.6,39,114.6,350.1,289.2,2.1,260.5,0.6,2.7,2.5,4.4,11.1,12,69.9,159.4,33.1
"19.01.2022",98.2,37.9,113.7,312.8,229.1,1.8,177.4,0.6,1.7,2.4,4.2,10.6,11.5,150.8,504.3,53
"20.01.2022",98.2,36.1,112.2,278.2,181.5,2.5,142.2,0.6,2.3,2.3,4.1,8.9,9.6,141.5,680.6,41.8
